Regio's,Onderwerp,,2019,2020,2021
Groningen (PV),Bevolking,aantal,583990,585866,586937
Fryslân (PV),Bevolking,aantal,647672,649957,651435
Drenthe (PV),Bevolking,aantal,492167,493682,494771
Overijssel (PV),Bevolking,aantal,1156431,1162406,1166533
Flevoland (PV),Bevolking,aantal,416546,423021,428226
Gelderland (PV),Bevolking,aantal,2071972,2085952,2096603
Utrecht (PV),Bevolking,aantal,1342158,1354834,1361153
Noord-Holland (PV),Bevolking,aantal,2853359,2879527,2888486
Zuid-Holland (PV),Bevolking,aantal,3673893,3708696,3726050
Zeeland (PV),Bevolking,aantal,383032,383488,385400
Noord-Brabant (PV),Bevolking,aantal,2544806,2562955,2573949
Limburg (PV),Bevolking,aantal,1116137,1117201,1115872